['260441', '2020-01-02', 'quinta-feira', '17:00:00', 'RR', '174', '17', 'BOA VISTA', 'Defeito Mecânico no Veículo', 'Capotamento', 'Com Vítimas Feridas', 'Pleno dia', 'Decrescente', 'Nublado', 'Simples', 'Reta', 'Não', '9', '0', '3', '0', '6', '0', '3', '1', '2.874681', '-60.791526', 'SR-RR', 'UOP01/RR', '\n']
['260489', '2020-01-03', 'sexta-feira', '00:45:00', 'RO', '364', '341', 'JI-PARANA', 'Ingestão de Álcool', 'Queda de ocupante de veículo', 'Com Vítimas Feridas', 'Plena Noite', 'Decrescente', 'Chuva', 'Simples', 'Reta', 'Sim', '1', '0', '0', '1', '0', '0', '1', '1', '-10.88987987', '-61.93126772', 'SR-RO', 'DEL21/2', 'UOP01/RO\n']
['260672', '2020-01-03', 'sexta-feira', '18:35:00', 'RO', '174', '15', 'VILHENA', 'Restrição de Visibilidade', 'Colisão transversal', 'Com Vítimas Feridas', 'Anoitecer', 'Decrescente', 'Chuva', 'Simples', 'Reta', 'Sim', '2', '0', '1', '0', '1', '0', '1', '2', '-12.723321', '-60.12801', 'SR-RO', 'DEL21/4', 'UOP01/RO\n']
['260681', '2020-01-03', 'sexta-feira', '19:54:00', 'RO', '319', '59.9', 'PORTO VELHO', 'Desobediência às normas de trânsito pelo condutor', 'Colisão transversal', 'Com Vítimas Feridas', 'Plena Noite', 'Decrescente', 'Nublado', 'Dupla', 'Interseção de vias', 'Sim', '2', '0', '2', '0', '0', '0', '2', '2', '-8.74250565', '-63.90262496', 'SR-RO', 'DEL21/1', 'UOP01/RO\n']
['260712', '2020-01-03', 'sexta-feira', '21:40:00', 'TO', '242', '422.2', 'FORMOSO DO ARAGUAIA', 'Defeito Mecânico no Veículo', 'Saída de leito carroçável', 'Sem Vítimas', 'Plena Noite', 'Decrescente', 'Céu Claro', 'Simples', 'Reta', 'Não', '5', '0', '0', '0', '5', '0', '0', '1', '-11.93028018', '-49.29724405', 'SR-TO', 'UOP01/TO', '\n']
['260758', '2020-01-04', 'sábado', '07:20:00', 'AC', '364', '255.9', 'SENA MADUREIRA', 'Desobediência às normas de trânsito pelo condutor', 'Colisão transversal', 'Com Vítimas Fatais', 'Pleno dia', 'Decrescente', 'Céu Claro', 'Simples', 'Reta', 'Não', '2', '1', '0', '0', '1', '0', '0', '2', '-9.18755199', '-68.55481799', 'SR-AC', 'UOP01/AC', '\n']
['260763', '2020-01-04', 'sábado', '09:35:00', 'TO', '153', '483.9', 'PARAISO DO TOCANTINS', 'Ultrapassagem Indevida', 'Saída de leito carroçável', 'Com Vítimas Feridas', 'Pleno dia', 'Crescente', 'Nublado', 'Simples', 'Curva', 'Não', '2', '0', '0', '2', '0', '0', '2', '1', '-10.07093792', '-48.85200006', 'SR-TO', 'UOP02/TO', '\n']
['260827', '2020-01-04', 'sábado', '11:50:00', 'RR', '401', '1.2', 'BOA VISTA', 'Falta de Atenção à Condução', 'Colisão lateral', 'Com Vítimas Feridas', 'Pleno dia', 'Crescente', 'Céu Claro', 'Dupla', 'Interseção de vias', 'Sim', '2', '0', '1', '0', '1', '0', '1', '2', '2.80229396', '-60.68243402', 'SR-RR', 'UOP01/RR', '\n']
['260837', '2020-01-04', 'sábado', '16:05:00', 'TO', '153', '673.9', 'GURUPI', 'Falta de Atenção à Condução', 'Colisão lateral', 'Com Vítimas Feridas', 'Pleno dia', 'Decrescente', 'Céu Claro', 'Simples', 'Interseção de vias', 'Sim', '2', '0', '0', '1', '1', '0', '1', '2', '-11.73820383', '-49.08104077', 'SR-TO', 'UOP01/TO', '\n']
['260844', '2020-01-04', 'sábado', '17:10:00', 'TO', '153', '634.8', 'ALIANCA DO TOCANTINS', 'Agressão Externa', 'Saída de leito carroçável', 'Com Vítimas Feridas', 'Pleno dia', 'Crescente', 'Nublado', 'Simples', 'Reta', 'Não', '1', '0', '0', '1', '0', '0', '1', '1', '-11.39541211', '-48.97433972', 'SR-TO', 'UOP01/TO', '\n']
['260851', '2020-01-04', 'sábado', '15:00:00', 'RO', '364', '427.1', 'JARU', 'Desobediência às normas de trânsito pelo condutor', 'Colisão lateral', 'Com Vítimas Feridas', 'Pleno dia', 'Decrescente', 'Nublado', 'Múltipla', 'Interseção de vias', 'Sim', '4', '0', '2', '0', '2', '0', '2', '2', '-10.42731312', '-62.48745208', 'SR-RO', 'DEL21/3', 'UOP02/RO\n']
['260853', '2020-01-04', 'sábado', '14:20:00', 'PA', '163', '923', 'BELTERRA', 'Defeito Mecânico no Veículo', 'Capotamento', 'Com Vítimas Feridas', 'Pleno dia', 'Decrescente', 'Sol', 'Simples', 'Reta', 'Não', '1', '0', '1', '0', '0', '0', '1', '1', '-3.03617198', '-54.9279098', 'SR-PA', 'DEL19/5', 'UOP01/PA\n']
['260910', '2020-01-04', 'sábado', '22:30:00', 'RO', '364', '343', 'JI-PARANA', 'Velocidade Incompatível', 'Saída de leito carroçável', 'Sem Vítimas', 'Plena Noite', 'Crescente', 'Nublado', 'Dupla', 'Reta', 'Sim', '1', '0', '0', '0', '0', '1', '0', '1', '-10.87878519', '-61.94499012', 'SR-RO', 'DEL21/2', 'UOP01/RO\n']
['260921', '2020-01-05', 'domingo', '01:00:00', 'RO', '364', '420.6', 'JARU', 'Condutor Dormindo', 'Saída de leito carroçável', 'Com Vítimas Feridas', 'Plena Noite', 'Crescente', 'Céu Claro', 'Simples', 'Reta', 'Não', '2', '0', '0', '2', '0', '0', '2', '1', '-10.47470369', '-62.44575957', 'SR-RO', 'DEL21/3', 'UOP02/RO\n']
['260932', '2020-01-05', 'domingo', '05:00:00', 'TO', '153', '285', 'PRESIDENTE KENNEDY', 'Desobediência às normas de trânsito pelo condutor', 'Colisão frontal', 'Com Vítimas Feridas', 'Amanhecer', 'Crescente', 'Céu Claro', 'Simples', 'Não Informado', 'Não', '6', '0', '0', '1', '5', '0', '1', '2', '-8.39933509', '-48.48484742', 'SR-TO', 'UOP03/TO', '\n']
['260940', '2020-01-05', 'domingo', '06:30:00', 'TO', '153', '789.1', 'TALISMA', 'Pista Escorregadia', 'Saída de leito carroçável', 'Com Vítimas Feridas', 'Pleno dia', 'Crescente', 'Chuva', 'Simples', 'Não Informado', 'Não', '5', '0', '3', '2', '0', '0', '5', '1', '-12.71914102', '-49.07691189', 'SR-TO', 'UOP01/TO', '\n']
['260946', '2020-01-05', 'domingo', '06:30:00', 'PA', '222', '236', 'MARABA', 'Ultrapassagem Indevida', 'Colisão frontal', 'Com Vítimas Feridas', 'Pleno dia', 'Decrescente', 'Céu Claro', 'Simples', 'Reta', 'Sim', '3', '0', '1', '0', '2', '0', '1', '3', '-5.285714', '-49.07513', 'SR-PA', 'DEL19/3', 'UOP01/PA\n']
['260980', '2020-01-05', 'domingo', '11:00:00', 'TO', '153', '791', 'TALISMA', 'Defeito na Via', 'Colisão frontal', 'Com Vítimas Feridas', 'Pleno dia', 'Crescente', 'Nublado', 'Simples', 'Reta', 'Não', '9', '0', '1', '8', '0', '0', '9', '2', '-12.73659401', '-49.08071797', 'SR-TO', 'UOP01/TO', '\n']
['260992', '2020-01-05', 'domingo', '11:50:00', 'RO', '364', '712', 'PORTO VELHO', 'Falta de Atenção à Condução', 'Colisão lateral', 'Com Vítimas Feridas', 'Pleno dia', 'Decrescente', 'Nublado', 'Dupla', 'Interseção de vias', 'Sim', '2', '0', '1', '0', '1', '0', '1', '2', '-8.77271475', '-63.88120651', 'SR-RO', 'DEL21/1', 'UOP01/RO\n']
['261028', '2020-01-05', 'domingo', '15:00:00', 'AM', '174', '972', 'MANAUS', 'Defeito Mecânico no Veículo', 'Saída de leito carroçável', 'Com Vítimas Feridas', 'Pleno dia', 'Decrescente', 'Sol', 'Simples', 'Reta', 'Não', '3', '0', '3', '0', '0', '0', '3', '1', '-2.20712585', '-60.01829448', 'SR-AM', 'UOP02/AM', '\n']
['261029', '2020-01-05', 'domingo', '15:30:00', 'TO', '153', '791', 'TALISMA', 'Defeito na Via', 'Capotamento', 'Com Vítimas Feridas', 'Pleno dia', 'Crescente', 'Chuva', 'Simples', 'Não Informado', 'Não', '5', '0', '1', '0', '4', '0', '1', '1', '-12.73659401', '-49.08071797', 'SR-TO', 'UOP01/TO', '\n']
